studentid,name,age,gender,degree_branch,ethnicity,parentaleducation,studytimeweekly,absences,tutoring,parentalsupport,extracurricular,sports,music,volunteering,gpa,gradeclass,at_risk
1001,Amit Gupta,17.0,1,BSc Nursing,1,3,16.0,13.0,0,2,0,0,0,0,3.158425338,1,0
1002,Rohan Malode,18.0,1,BE - Information Technology,2,0,17.0,28.0,0,2,1,1,1,0,2.794654747,2,1
1003,Amit Joshi,15.0,1,BCA (Hons),0,1,13.0,18.0,1,4,0,0,0,1,3.774846576,0,0
1004,Anita Yadav,17.0,1,BSc Horticulture,0,3,6.0,4.0,0,3,1,0,0,0,3.040574279,1,0
1005,Manish Patil,17.0,0,B.Tech - Electrical,1,2,6.0,20.0,0,4,0,0,0,0,3.38230992,1,0
1006,Rohan Sharma,18.0,0,B.Tech - Mechanical,3,4,13.0,23.0,1,2,1,0,1,0,4.0,0,0
1007,Amit Gupta,15.0,1,B.Tech - Electronics & Communication,0,3,14.0,25.0,0,2,1,0,1,1,3.009268482,1,0
1008,Riya Pawar,15.0,0,BE - Chemical,0,4,11.0,8.0,0,3,0,0,1,1,4.0,0,0
1009,Amit Patil,17.0,1,BSc Horticulture,1,1,11.0,23.0,0,2,0,0,0,0,3.944525495,0,0
1010,Priya Deshmukh,16.0,1,BE - Electronics & Communication,3,4,7.0,11.0,0,3,0,1,1,1,2.735138154,2,0
1011,Sanjana Malode,17.0,0,BVoc - Retail Management,2,1,15.0,15.0,0,2,1,1,0,0,3.413573202,1,0
1012,Pooja Malode,17.0,1,BSc Horticulture,3,4,8.0,18.0,0,2,1,0,0,0,4.0,0,0
1013,Riya Pawar,17.0,0,BDes,0,1,1.0,14.0,0,4,0,0,0,0,2.286981785,3,1
1014,Sahil Sharma,17.0,1,BE - Electrical,0,2,13.0,16.0,0,3,1,0,1,0,3.470706446,1,0
1015,Aditya Patil,18.0,1,BJMC - Journalism & Mass Communication,1,3,15.0,29.0,0,1,0,1,0,0,2.843756721,2,1
1016,Aditya Reddy,15.0,1,BSc - Information Technology,2,2,4.0,14.0,0,4,1,0,0,1,3.849988937,0,1
1017,Aditya Khan,18.0,0,BE - Computer Science,0,2,4.0,2.0,0,3,1,1,0,0,2.814171388,2,1
1018,Aaradhya Joshi,18.0,0,BCA (Hons),0,4,19.0,16.0,0,3,1,0,1,1,3.263020138,1,0
1019,Vikas Patil,18.0,1,BE - Electrical,2,2,20.0,12.0,0,2,1,0,0,0,3.241106571,1,0
1020,Nisha Gupta,17.0,1,B.Tech - Information Technology,0,3,17.0,26.0,0,2,1,0,1,1,2.653259721,2,1
1021,Nisha Gupta,16.0,1,B.Tech - Electronics & Communication,0,0,17.0,8.0,0,4,1,1,1,0,3.575574036,0,0
1022,Meera Malode,15.0,0,BCom (Hons),1,3,4.0,27.0,0,2,1,1,1,0,2.69644174,2,1
1023,Rohan Yadav,16.0,0,BPT - Physiotherapy,1,3,10.0,12.0,0,1,0,1,0,0,3.65378465,0,0
1024,Meera Deshmukh,18.0,0,BCA (Hons),2,2,12.0,15.0,0,2,0,1,1,0,3.110618264,1,0
1025,Kunal Yadav,18.0,1,BFA,0,0,2.0,18.0,0,0,0,0,0,1,2.452458663,3,1
1026,Meera Reddy,16.0,0,B.Tech - Computer Science,1,2,16.0,13.0,0,3,1,0,0,0,4.0,0,0
1027,Sanjana Khan,16.0,0,BHM - Hotel Management,1,0,17.0,7.0,1,1,0,0,1,0,3.89043692,0,0
1028,Aaradhya Khan,16.0,1,BSc Agriculture,1,0,13.0,21.0,0,2,0,1,0,0,3.399555458,1,0
1029,Amit Patil,18.0,0,BFSc - Fisheries,1,3,11.0,18.0,0,4,0,0,1,1,3.445947128,1,0
1030,Sneha Khan,18.0,1,BDes,0,1,13.0,24.0,1,2,1,1,1,0,3.859446752,0,0
1031,Aditya Khan,15.0,1,BSc - Biotechnology,0,1,17.0,23.0,0,2,1,0,1,0,2.776963726,2,0
1032,Manish Reddy,15.0,1,B.Tech - Electronics & Communication,0,3,19.0,2.0,1,2,0,1,0,1,4.0,0,0
1033,Anita Malode,18.0,0,BPharm,0,0,1.0,22.0,1,1,1,1,1,1,3.398856584,1,1
1034,Rohan Malode,16.0,0,BJMC - Journalism & Mass Communication,1,1,6.0,20.0,0,0,0,1,0,1,2.500520348,2,1
